[WARN  2023-09-22T21:15:25,059 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,373 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /redir/?partnerid=132&partneruserid=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&gdpr=0&gdpr_consent=&redirurl=https%3A%2F%2Fas%2Ead4m%2Eat%2Fad%2Fdpe%3Fa%3DKrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT%26c%3D9%26b%3DSMART_USER_ID. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,389 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) No content type specified in response from /collect?v=2&fmt=js&pid=3197788&time=1695410123224&url=https%3A%2F%2Fauth.global-exam.com%2Flogin. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,461 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) No content type specified in response from /ad/dpe?b=CAESEEC2r94WCvsJjblvj9MluuM&a=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&c=1&google_cver=1. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,512 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) No content type specified in response from /rum?cm_dsp_id=5&external_user_id=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,524 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) No content type specified in response from /ad/dpe?a=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&c=9&b=9023766756579509197&gdpr=0&gdpr_consent=. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,540 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) No content type specified in response from /tpui?tpid=25&tpuid=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&cburl=https%3A%2F%2Fas%2Ead4m%2Eat%2Fad%2Fdpe%3Fa%3DKrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT%26b%3D__ADSCALE_USER_ID__%26c%3D6. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,540 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) No content type specified in response from /collect?v=2&fmt=js&pid=3197788&time=1695410123224&url=https%3A%2F%2Fauth.global-exam.com%2Flogin&cookiesTest=true. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,543 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-2) No content type specified in response from /ad/dpe?a=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&b=6c9b857554d7f84cf7e325f442fda87f6af3b7055510309c80a9abeb83f0d&c=7. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,575 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) No content type specified in response from /tpui?tpid=25&tpuid=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&cburl=https%3A%2F%2Fas%2Ead4m%2Eat%2Fad%2Fdpe%3Fa%3DKrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT%26b%3D__ADSCALE_USER_ID__%26c%3D6&nut&uu=feb998abd62c4ae0b10ff0b88374e0ce. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:25,910 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:25,911 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:26,128 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) No content type specified in response from /ad/dpe?a=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&b=7f38f3b28a48ee3c073e6700fb40f6ddd580d12bcab482ab33d30f5b41bbc10e&c=6. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:26,552 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) No content type specified in response from /js/ax.php. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:26,807 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /AdServer/Pug?vcode=bz0yJnR5cGU9MSZjb2RlPTM0MjkmdGw9MTI5NjAw&r=https%3A%2F%2Fas%2Ead4m%2Eat%2Fad%2Fdpe%3Fa%3DKrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT%26b%3D%24%7BPUBMATIC%5FUID%7D%26c%3D5. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:26,870 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /px/li_sync?redirect=https%3A%2F%2Fpx.ads.linkedin.com%2Fcollect%3Fv%3D2%26fmt%3Djs%26pid%3D3197788%26time%3D1695410123224%26url%3Dhttps%253A%252F%252Fauth.global-exam.com%252Flogin%26cookiesTest%3Dtrue%26liSync%3Dtrue. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:26,988 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /cart.d?pa=29789&target=1&transaction_amount=0&u=https%3A%2F%2Fauth.global-exam.com%2F&r=&is_client=0&rand=1695410124279204131. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:27,158 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /ad/dpe?a=KrSNYeb2A9F0KKfLPWvF7qGT9cu2P8sT&b=${PUBMATIC_UID}&c=5. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:27,266 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-5) No content type specified in response from /cart.d?pa=29789&target=1&transaction_amount=0&u=https%3A%2F%2Fauth.global-exam.com%2F&r=&is_client=0&rand=1695410124279204131. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:27,774 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ClientToProxyWorker-1) No content type specified in request to /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:27,994 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:28,142 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) No content type specified in response from /c.gif. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:28,417 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /c.gif?ctsa=mr&CtsSyncId=3D1DA980A4B248E48407B9E4F9AA0BAE&RedC=c.clarity.ms&MXFR=1B410DC0D404637E3FD51E54D0046D2D. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:30,484 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-0) No content type specified in response from /js/ax.php. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:30,940 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ClientToProxyWorker-1) No content type specified in request to /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:31,179 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:33,131 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /js/ax.php. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:33,624 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:33,625 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:33,947 net.lightbody.bmp.filters.ServerResponseCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Cannot decode unsupported content encoding type br 
[WARN  2023-09-22T21:15:33,950 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-1) Unable to decompress content with encoding: br. Contents will be encoded as base64 binary data. 
[WARN  2023-09-22T21:15:33,985 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-3) No content type specified in response from /actionp/0?ti=56278123&Ver=2&mid=e84499ed-d322-4495-b68c-76c1325eaffa&sid=6061b610597c11eebf81df9ee09e7c38&vid=6061e140597c11ee866447eaeed69a73&vids=0&msclkid=N&evt=pageHide. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:34,103 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /collect. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:34,356 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-6) No content type specified in response from /matomo.php?action_name=GlobalExam&idsite=2&rec=1&r=881741&h=21&m=15&s=34&url=https%3A%2F%2Fauth.global-exam.com%2Flogin&_id=8736a5121e9bf8e2&_idn=0&send_image=0&_refts=0&pdf=1&qt=0&realp=0&wma=0&fla=0&java=0&ag=0&cookie=1&res=1712x884&pv_id=LzsDo2&pf_net=0&pf_srv=87&pf_tfr=19&pf_dm1=77&uadata=%7B%22fullVersionList%22%3A%5B%7B%22brand%22%3A%22Chromium%22%2C%22version%22%3A%22117.0.5938.92%22%7D%2C%7B%22brand%22%3A%22Not%3BA%3DBrand%22%2C%22version%22%3A%228.0.0.0%22%7D%5D%2C%22mobile%22%3Afalse%2C%22model%22%3A%22%22%2C%22platform%22%3A%22Linux%22%2C%22platformVersion%22%3A%225.10.0%22%7D. Content will be treated as application/octet-stream 
[WARN  2023-09-22T21:15:34,500 net.lightbody.bmp.filters.HarCaptureFilter] (LittleProxy-0-ProxyToServerWorker-7) No content type specified in response from /sa.js?key=fwgp8ygfyzxtorfu3r233. Content will be treated as application/octet-stream 
